Título,Sentimento,Fonte,Data,Link,Descrição
Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial,Positivo,Google,"Fri, 29 Aug 2025 18:29:26 GMT",https://news.google.com/rss/articles/CBMixgFBVV95cUxOMnhBR1lJcTNqbFdZUEZyOWFmcU5PeG1XdjZMSDZYNE9laUdGUURNNjRCSGczVjF4TUdzb3JieGVvcUlZQVUxTzRWc25iZEMyZkNxTUdkWGp6LV9LQTVxTjF4M0Nac0x3VDhVblg5aFJnTjBtZ3NNcVh5dzBUN0VydE9KNkhFVjhkeWJYaHVoU0ZNemFQenhrQlFzTV9ydk9lcFdKRF9iem9ReWlRaGV3cDN0N1RoWHFqeEN1aDFCN3A2SVVhMGc?oc=5,Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial
"Piauí passa a contar com o “SPIA”, sistema de policiamento com inteligência artificial",Neutro,Portal O Dia,"Fri, 22 Aug 2025 10:48:55 GMT",https://news.google.com/rss/articles/CBMiygFBVV95cUxPdDZmQ1JZZmI5WWJCUjlKT3N5STMxNE9KdTFlZjlOdmhvLTNuUlNRbk9vS09Ja2ZTaE5nN0daWU9FQ0F3NEVPV2NjLWU2VjZ1eWlkVVQ3TVhsUmE5aGFpYlkxbkFFQmg3WDN6N3dicFlYS05jSmJIaUROMXZLeGkySExHaVVHQ21rYWNINmlrQnZ3NFExMDNhb3hWN3R3clZIQlVjbFg2YUNMWFkxVkZQMFlfNHI2clVpRjk0UHNXTmRUM09JeVA5dUN3?oc=5,"Piauí passa a contar com o “SPIA”, sistema de policiamento com inteligência artificial"
Inscrições de seletivo para curso de Inteligência Artificial no Piauí estão abertas,Positivo,Portal O Dia,"Tue, 15 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxNY0I5UUliY0J6dVEwc1g0Z0dxZmhBUE4zXzdpTDFSLWhkM2U0YlRrQ3FHOXVhX2dRRm9DS2JJS1ViUWkwLWN3YW9jcEM1ZjJFZFZCTDdKeVNCbld6Um91Vk1mc1E4TTkwZ0RBQnpzdENvR2l2TWF6bDVOQnN6RlZFUC1wVG93WGdFMkJQUE1rUXNoTVJIYlNLaXhhRUZPQVRpQjNGZk5WcjdRaE41OUtUVkFZWUt2cGE3bHVuU3BuZ0JLSkthNk1mZjUzLUx4dw?oc=5,Inscrições de seletivo para curso de Inteligência Artificial no Piauí estão abertas
NEON 2025 reúne 200 startups e destaca o Piauí como polo de inovação e negócios no Nordeste,Positivo,Info Newss,"Fri, 04 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMitAFBVV95cUxONm5maHJRVm5NeXByc0huT0p0a04xMDJZZnJ3Zm9TR256ZVNQZTN0dVFaNDNOWjdsMlNKMWFQRGtURjJkZzVTeTZrVHdidndfY1I4emdoVnFHRGtJdFRlVWNsdDAwVU5Gd2ZvNjQ3Y0JROWpuQXVJWWY5RGhaMWFSaE04dGhHNU9jS2szeE5IWGpSMXFBZ3ViZVpjaGRlTlZUWExoSHdpYnIyd2V0cHR0X2g2Yk4?oc=5,NEON 2025 reúne 200 startups e destaca o Piauí como polo de inovação e negócios no Nordeste
Governo do Piauí autoriza curso superior em Inteligência Artificial,Positivo,CidadeVerde.com,"Thu, 03 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQbkdtRkRsdXBXNmU5dElEdXl2N05QSzZCODBzc1lBQzBvekpRQ0NFdWVLNWNJS0tIQ0hUajRrbnY2Mm1ac3Jydl9MUFJja3B4bmJhOFdaR0hBM0lxNWUxWWpST0EwQy1iTUFnUXJkTjBsVmlNTjM1cE0wTzR0bTBleWdQWmlONkpwZmJ4R2R0S3FJZDc4bEpTLXAtLUZYSlRDM3JzVFVWbGgzaWM?oc=5,Governo do Piauí autoriza curso superior em Inteligência Artificial
Piauí terá cursos superiores em Inteligência Artificial com 120 vagas,Positivo,Portal O Dia,"Thu, 03 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxOTndmMjduMk1hdU54b2hpYUd0eWtDdjE1NWoyUHVRQjU0eDdOUmlUR0g3OHNvWTZVMi1fYjJ6WE1EbnFkWUxpNEdFTjAzVTZFU0RlV2NkbVptSm5xMXZmNHpuaUhSZ1JLVkdPMFlPUEFhMnU3Q3RfVlVnRFhuUDNvU0VmanJyWWlDbHprSERoTHlPSFlWU29ZMGNGRXNhRGdtVGJJX1kybTRzQUVJMlpuZ3o5NWR5bnVUb3M0?oc=5,Piauí terá cursos superiores em Inteligência Artificial com 120 vagas
SoberanIA: primeira IA 100% piauiense é apresentada no NEON,Positivo,Meio Norte,"Thu, 03 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxOXzdTT2VuVUVEREdmdmVNUmgtOEFQZnRLdU1LTWpTTzhBUllxZlYyRXVnY3l0LXVHTThqSTY0LTNFSlJxc1p6b19Ka3lyMjV5VWhwNlNYeTdTT21Lc2poSVJPSXVmbHdLeXFUZHhkenc0clhYMzZKTU9QZ0pUWGV0QlBmYmpfTVExTXR4NUZoeUVJSkhweGNfSEUyNNIBmwFBVV95cUxOXzdTT2VuVUVEREdmdmVNUmgtOEFQZnRLdU1LTWpTTzhBUllxZlYyRXVnY3l0LXVHTThqSTY0LTNFSlJxc1p6b19Ka3lyMjV5VWhwNlNYeTdTT21Lc2poSVJPSXVmbHdLeXFUZHhkenc0clhYMzZKTU9QZ0pUWGV0QlBmYmpfTVExTXR4NUZoeUVJSkhweGNfSEUyNA?oc=5,SoberanIA: primeira IA 100% piauiense é apresentada no NEON
BO Fácil registra 1.400 contatos pelo WhatsApp no primeiro dia de uso,Positivo,Info Newss,"Wed, 02 Jul 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMilwFBVV95cUxQemQyVXlfUVFLRzRzemlvTUQ1VHBnSnV2TTdmWnFJek9Cb1dEc3dxc3hUYUc5d1hHNXNySnVkUWltZnpnWWxsaUg0ZkpXY0Y4MVFRN2hNWW16M05MZFVqRU1WNlZsS3FzX0xJbGpTOTFiMUlabEJya1VsQktaOE5haTJvcDVCZC02UENzVi0tRlE0T254WURv?oc=5,BO Fácil registra 1.400 contatos pelo WhatsApp no primeiro dia de uso
Piauí lança IA com 'alma brasileira' que domina sotaques e expressões regionais,Neutro,Canaltech,"Thu, 26 Jun 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMjJ6VzVzR0tKcUlTZlBfZG9iZkRMajhSemxkcno2RXV0Znl4b2o4VGpyOWlKaG9fQ2VGZVlUanNJbHBrSndkaHNScmNoQl9mUXRKZHc0dDZMZ1MyOHJEU1lFb1V5RnBHT3Jkemx0U213LUNTTDRzLXNiT0RFaC1JeEVTSXYwa2F5NkloZTBzai1GVklzRUlTZ2VjVE1RYThZR3Baa2JYdWdZMG9MQkx1Q3VsVnlrbzNaNmE5dzN4Y0Q?oc=5,Piauí lança IA com 'alma brasileira' que domina sotaques e expressões regionais
SoberanIA é lançada e terá B.O. por WhatsApp como uma das primeiras ações,Positivo,CidadeVerde.com,"Wed, 25 Jun 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMisAFBVV95cUxObEdOcHpLak1uQUFVRUJTY1dCNHp5SUhzSFA0NmxUZFNKV2ozdTA0VE9oZjdPLV9Meko4cnNWcTdmUE10TE13NTFuRDVzSDFTN0Q5N1pqNWVfaGp6WVpGdjFOWFVYakNYbkRrTGctU1lsQkotZHJTRGhlMGRhM1pvUUhGdjQxS0JtMWR3YXVpTEdVaHc1NWR4eXZFM19GYjBQT2wtT2FkNzJWOUlwVTdGMg?oc=5,SoberanIA é lançada e terá B.O. por WhatsApp como uma das primeiras ações
